score,name,links
4.8,Dmitriy Babichenko,https://www.ratemyprofessors.com/professor/1836705
3.0,John Keith,https://www.ratemyprofessors.com/professor/2274102
4.5,Amy Babay,https://www.ratemyprofessors.com/professor/2584299
5.0,Pengfei Zhou,https://www.ratemyprofessors.com/professor/3029716
4.9,Allison Bennett Dyche,https://www.ratemyprofessors.com/professor/3090952
3.4,Jonathan Misurda,https://www.ratemyprofessors.com/professor/493257
4.4,Melissa Ruggiero,https://www.ratemyprofessors.com/professor/2663823
3.1,Carol Fortney,https://www.ratemyprofessors.com/professor/1030107
2.9,Matteo Broccio,https://www.ratemyprofessors.com/professor/1623110
4.6,Jennifer Cousins,https://www.ratemyprofessors.com/professor/1695533
2.6,Catherine Duane-Lennard,https://www.ratemyprofessors.com/professor/130187
1.6,Robert Devaty,https://www.ratemyprofessors.com/professor/294515
3.9,Curry Chandler,https://www.ratemyprofessors.com/professor/2364871
4.5,Anne Carlson,https://www.ratemyprofessors.com/professor/2122513
3.1,Gamby Camara,https://www.ratemyprofessors.com/professor/2780003
3.7,Sarah Hainer,https://www.ratemyprofessors.com/professor/2550846
2.5,Abagael West,https://www.ratemyprofessors.com/professor/2427543
3.9,Gabby Yearwood,https://www.ratemyprofessors.com/professor/1885467
2.8,Tanzeen Doha,https://www.ratemyprofessors.com/professor/2963862
3.3,David Nero,https://www.ratemyprofessors.com/professor/1846554
1.0,Raul Hernandez,https://www.ratemyprofessors.com/professor/2773357
3.7,Scott Streiner,https://www.ratemyprofessors.com/professor/2772713
2.4,Kristoffer Varholm,https://www.ratemyprofessors.com/professor/3059544
3.2,Lesley Ashmore,https://www.ratemyprofessors.com/professor/2056648
4.5,Kuei-Nin Tseng,https://www.ratemyprofessors.com/professor/2496243
4.7,Nadya Povysheva,https://www.ratemyprofessors.com/professor/1710140
3.4,Arnab  Dasgupta,https://www.ratemyprofessors.com/professor/3030682
2.6,Tamika Madison,https://www.ratemyprofessors.com/professor/1523874
1.6,Vijai Singh,https://www.ratemyprofessors.com/professor/496719
4.8,Nikolas Siapoutis,https://www.ratemyprofessors.com/professor/2867741
3.6,Melissa Lehrer,https://www.ratemyprofessors.com/professor/3065461
4.6,George Nwaogu,https://www.ratemyprofessors.com/professor/3040994
4.3,Ricardo Vila-Roger,https://www.ratemyprofessors.com/professor/2056489
3.8,Hannah Morris,https://www.ratemyprofessors.com/professor/1898556
4.1,Erika Fanselow,https://www.ratemyprofessors.com/professor/2044983
4.9,Lorraine Denman,https://www.ratemyprofessors.com/professor/462884
2.6,Nancy Kaufmann,https://www.ratemyprofessors.com/professor/869073
4.5,David Sanchez,https://www.ratemyprofessors.com/professor/1914113
4.2,Thomas Gilton,https://www.ratemyprofessors.com/professor/2623154
2.9,Lina Insana,https://www.ratemyprofessors.com/professor/305738
2.3,Steven Goldstein,https://www.ratemyprofessors.com/professor/2935798
4.4,Steve Meriney,https://www.ratemyprofessors.com/professor/822228
3.9,Olga Klimova,https://www.ratemyprofessors.com/professor/815541
3.6,Jonathan Fuller,https://www.ratemyprofessors.com/professor/2591011
4.3,David Fraser,https://www.ratemyprofessors.com/professor/2831391
1.8,Nils Murrugarra-Llerena,https://www.ratemyprofessors.com/professor/3034550
2.6,Tony Carey,https://www.ratemyprofessors.com/professor/2958580
4.1,Senjuti  Mukherjee,https://www.ratemyprofessors.com/professor/2934629
4.0,Jacqueline  Johnson,https://www.ratemyprofessors.com/professor/3033971
2.8,Laurel Roberts,https://www.ratemyprofessors.com/professor/8247
4.2,Sheng Xiong,https://www.ratemyprofessors.com/professor/1745847
3.3,Debra Artim,https://www.ratemyprofessors.com/professor/1005875
4.8,Kristina Paris,https://www.ratemyprofessors.com/professor/2355461
2.8,David Outomuro Priede,https://www.ratemyprofessors.com/professor/2705515
4.7,Jarrett Billingsley,https://www.ratemyprofessors.com/professor/2354970
3.8,Sherif Khattab,https://www.ratemyprofessors.com/professor/2313893
3.2,Rory Carroll,https://www.ratemyprofessors.com/professor/2719631
5.0,Scott Stuckman,https://www.ratemyprofessors.com/professor/2242869
1.5,Xiaolun Wu,https://www.ratemyprofessors.com/professor/2211930
2.4,Joseph Boudreau,https://www.ratemyprofessors.com/professor/124305
4.6,Meredith Barbieri,https://www.ratemyprofessors.com/professor/931178
3.5,David Schmidt,https://www.ratemyprofessors.com/professor/1870773
4.3,Michael  Scalise,https://www.ratemyprofessors.com/professor/2941495
5.0,William Musk,https://www.ratemyprofessors.com/professor/2975623
5.0,Elizabeth Pitts,https://www.ratemyprofessors.com/professor/2533946
4.5,Patrick Shirey,https://www.ratemyprofessors.com/professor/2869409
4.6,Deena November,https://www.ratemyprofessors.com/professor/3002561
5.0,Carli Liguori,https://www.ratemyprofessors.com/professor/2727917
4.0,Nico Gabriel,https://www.ratemyprofessors.com/professor/2865958
4.0,Jacob Durrant,https://www.ratemyprofessors.com/professor/3099413
3.3,Dave Coplan,https://www.ratemyprofessors.com/professor/2580378
4.7,Keila Grinberg,https://www.ratemyprofessors.com/professor/2776834
3.0,Andrew Wein,https://www.ratemyprofessors.com/professor/2892414
3.2,Yoko Suzuki,https://www.ratemyprofessors.com/professor/1196184
4.3,Michael Goodhart,https://www.ratemyprofessors.com/professor/146202
4.1,Brenton Malin,https://www.ratemyprofessors.com/professor/1081919
3.7,Jennifer Grousd,https://www.ratemyprofessors.com/professor/2653044
3.2,Olga  Seliazniova,https://www.ratemyprofessors.com/professor/3053108
4.6,Matt Barbosa,https://www.ratemyprofessors.com/professor/2571372
3.9,Jacob Schiller,https://www.ratemyprofessors.com/professor/2689119
2.5,Amanda Boston,https://www.ratemyprofessors.com/professor/2729907
1.4,Inanc Senocak,https://www.ratemyprofessors.com/professor/2487875
3.5,Kenneth Batista,https://www.ratemyprofessors.com/professor/2578917
3.8,Anna Karpusheva,https://www.ratemyprofessors.com/professor/3039866
4.9,Tony Balko,https://www.ratemyprofessors.com/professor/2757550
4.7,Paul Johnson,https://www.ratemyprofessors.com/professor/2243258
3.8,Max Trecker,https://www.ratemyprofessors.com/professor/3045268
4.4,Anna Kovalova,https://www.ratemyprofessors.com/professor/3081721
4.3,Caroline Passerrello,https://www.ratemyprofessors.com/professor/2563843
2.0,Anna Sukhanova,https://www.ratemyprofessors.com/professor/3104428
4.2,Ericka Huston,https://www.ratemyprofessors.com/professor/308894
4.2,Shiting Bao,https://www.ratemyprofessors.com/professor/1931593
2.6,Lynne Clarke,https://www.ratemyprofessors.com/professor/1221433
4.1,Brad Messner,https://www.ratemyprofessors.com/professor/2929746
3.9,Tomas Matza,https://www.ratemyprofessors.com/professor/2109560
4.6,Jesse Schneider,https://www.ratemyprofessors.com/professor/3038797
4.7,Michal Cieslak,https://www.ratemyprofessors.com/professor/3070780
4.0,Michael Sawyer,https://www.ratemyprofessors.com/professor/2799572
4.6,Jake Dechant,https://www.ratemyprofessors.com/professor/353536
3.3,Gg Hegde,https://www.ratemyprofessors.com/professor/534006
